origin,dest,count
397,36379,2
397,46645,1
397,46659,1
397,83330,7
397,83339,1
399,91396,2
401,46142,1
401,78968,1
402,70421,10
403,85635,1
406,473,1
406,58396,1
406,85635,6
408,434,1
408,444,1
408,501,1
409,554,1
409,562,1
411,70421,1
411,70423,1
412,481,1
412,526,1
414,85635,3
416,70428,3
417,443,2
417,449,1
417,501,2
417,503,1
417,507,8
417,24242,1
418,443,1
419,46631,1
420,46891,1
421,482,1
421,68615,1
421,76096,2
421,76101,1
421,76103,5
421,83317,1
421,83337,5
422,91397,1
422,91405,4
423,34511,1
423,85634,1
424,76103,3
425,40551,2
425,40552,6
426,5210,3
426,72013,1
428,12024,1
428,46645,1
429,34662,1
429,34663,2
429,91405,1
430,34663,1
432,12038,4
433,36909,1
433,78973,2
436,78968,1
437,34520,1
439,478,2
444,395,1
444,408,1
444,416,4
445,397,1
447,58398,2
449,417,4
450,46667,1
451,46667,1
452,70422,3
454,46794,1
457,34519,3
457,34520,1
457,46625,4
457,46643,3
457,46648,4
457,64146,5
458,46139,1
458,91397,1
459,46794,1
460,3771,1
461,64147,1
462,70423,1
463,386,1
463,421,1
463,14654,2
463,91405,1
463,91411,1
464,64144,9
465,366,1
467,70423,4
468,76108,1
468,76109,1
468,76110,1
471,58390,1
472,34526,1
472,45637,1
472,64146,5
472,64147,1
475,46832,4
477,91405,2
478,439,1
478,440,1
478,28388,1
478,28389,1
478,28390,2
478,28391,11
478,70417,3
479,70421,1
480,70423,1
483,70423,3
483,70424,3
484,397,11
484,45695,1
484,58398,2
485,91379,2
485,91396,1
486,70423,5
487,34528,1
490,406,1
491,70424,1
493,501,1
493,503,1
494,58392,1
495,46655,1
495,46668,1
495,46723,1
495,91405,1
497,46612,1
497,46635,1
497,46645,6
498,78964,1
500,46643,1
501,416,2
501,417,2
503,412,2
503,416,1
503,417,1
503,493,2
503,510,1
503,46792,2
503,46794,1
504,70425,1
505,34528,6
505,91398,7
505,91405,1
507,408,2
507,417,4
508,386,1
509,34519,1
510,503,1
511,34528,1
513,85635,1
515,4922,1
517,70423,9
518,10408,7
518,70417,2
518,70423,6
519,70423,3
521,46139,9
522,77111,12
523,46593,4
525,78973,1
527,46643,1
531,24712,1
532,70421,1
532,70423,1
533,46831,1
535,77111,1
536,46619,1
537,70417,1
538,64139,5
538,77111,3
539,46805,1
540,45686,4
540,64139,2
540,83322,1
540,91397,8
542,34529,1
542,46733,1
543,91405,2
545,91396,3
548,78962,1
549,4308,2
550,70423,2
552,46806,1
553,46685,30
554,409,5
555,91397,5
558,46806,5
559,24239,2
561,70423,4
563,46159,1
565,46685,2
570,10408,3
571,390,1
572,81169,1
574,77110,4
576,14661,2
577,386,1
580,76099,1
581,70423,5
586,70423,1
588,46796,2
590,70423,5
592,64346,1
592,88608,1
593,388,1
594,77111,2
595,77111,2
597,70417,1
601,24771,1
602,23839,1
603,23839,10
604,24771,6
605,30616,1
606,23839,3
608,23839,2
609,23839,2
612,2439,1
612,2488,4
613,2429,1
613,2529,2
613,2624,2
614,2619,5
614,24753,2
614,24771,3
618,19697,1
618,24753,4
621,2544,4
621,24771,1
622,23839,1
624,24771,6
626,23839,1
628,2411,2
628,22347,3
631,2529,5
631,2621,2
631,2624,2
633,49276,1
636,2421,7
636,2433,3
636,2444,1
