id,name,lat,lon
14271,Fleury-sur-Orne,49.145,-0.374
14301,Giberville,49.173,-0.281
14327,Hérouville-Saint-Clair,49.204,-0.343
14333,Honfleur,49.419,0.235
14341,Ifs,49.146,-0.338
14347,Dialan sur Chaîne,49.017,-0.741
14366,Lisieux,49.142,0.241
14384,Luc-sur-Mer,49.309,-0.357
14431,Mézidon Vallée d'Auge,49.073,-0.089
14437,Mondeville,49.173,-0.309
14482,Ouézy,49.082,-0.104
14488,Ouistreham,49.285,-0.269
1451,Viriat,46.253,5.216
14514,Pont-l'Évêque,49.284,0.183
14536,La Rivière-Saint-Sauveur,49.407,0.271
14557,Saint-Arnoult,49.342,0.088
14566,Saint-Contest,49.202,-0.392
1457,Vonnas,46.216,4.987
14627,Saint-Martin-de-Mieux,48.886,-0.218
14663,Saint-Vigor-le-Grand,49.283,-0.689
14689,Le Hom,48.989,-0.482
14699,Touques,49.355,0.092
14712,Troarn,49.201,-0.175
14713,Montillières-sur-Orne,49.055,-0.473
14715,Trouville-sur-Mer,49.363,0.085
14724,Varaville,49.285,-0.162
14738,Verson,49.156,-0.448
14752,Villers-Bocage,49.081,-0.648
14754,Villers-sur-Mer,49.322,0.012
14762,Vire Normandie,48.837,-0.888
14764,Pont-d'Ouilly,48.873,-0.407
15014,Aurillac,44.918,2.428
15122,Maurs,44.709,2.198
15133,Montmurat,44.637,2.207
15184,Saint-Étienne-de-Maurs,44.719,2.207
15196,Saint-Mamet-la-Salvetat,44.858,2.294
15212,Saint-Santin-de-Maurs,44.65,2.216
15258,Vic-sur-Cère,44.975,2.619
15267,Ytrac,44.892,2.395
16015,Angoulême,45.644,0.148
16028,Barbezieux-Saint-Hilaire,45.472,-0.151
16089,Châteaubernard,45.668,-0.327
16102,Cognac,45.689,-0.34
16113,La Couronne,45.615,0.101
16163,Hiersac,45.67,0.005
16217,Merpins,45.664,-0.348
16358,Saint-Yrieix-sur-Charente,45.677,0.129
17003,Aigrefeuille-d'Aunis,46.124,-0.912
17008,Andilly,46.25,-1.03
17009,Angliers,46.211,-0.952
17010,Angoulins,46.106,-1.102
17019,Ars-en-Ré,46.205,-1.519
17021,Arvert,45.746,-1.135
17028,Aytré,46.13,-1.098
17041,Benon,46.2,-0.815
17051,Le Bois-Plage-en-Ré,46.186,-1.393
17057,Bouhet,46.163,-0.865
17059,Bourgneuf,46.167,-1.021
17063,Breuil-la-Réorte,46.055,-0.715
